SKPUCOCOQQoDET,UIUSCHVXYLoDET,QFTDITGKRAoDET,ESVDHWMLZSoDET,HNAZOMJLTHoDET,IUIQEPBEDZoDET,LIITHIJNWUoDET
`team_abbr`,`team_div`,`play_stat`,`play_pos`,`play_height`,`play_weight`,`play_PF`
GS,Atlantic,Starter,G,78,207,5
GS,Atlantic,Starter,PF,75,275,4
GS,Atlantic,Starter,SF,80,185,4
GS,Atlantic,Starter,C,82,245,2
GS,Atlantic,Starter,SF,81,212,1
GS,Atlantic,Bench,PF,77,199,2
GS,Atlantic,Bench,PF,73,149,0
GS,Atlantic,Bench,C,82,195,5
GS,Atlantic,Bench,PG,78,240,1
GS,Atlantic,Bench,PF,69,187,0
LAL,Southeast,Starter,SF,80,220,3
LAL,Southeast,Starter,SF,79,240,2
LAL,Southeast,Starter,PF,75,149,2
LAL,Southeast,Starter,SG,77,260,1
LAL,Southeast,Starter,PG,82,226,2
LAL,Southeast,Bench,SG,79,199,4
LAL,Southeast,Bench,C,80,190,3
LAL,Southeast,Bench,SF,81,240,3
LAL,Southeast,Bench,SG,76,199,3
LAL,Southeast,Bench,SG,78,251,2
DEN,Central,Starter,G,80,210,2
DEN,Central,Starter,SG,76,250,2
DEN,Central,Starter,PG,82,220,3
DEN,Central,Starter,PF,74,205,4
DEN,Central,Starter,C,82,245,0
DEN,Central,Bench,SG,75,199,1
DEN,Central,Bench,SF,76,190,3
DEN,Central,Bench,PG,80,280,1
SA,Southwest,Starter,SG,78,185,0
SA,Southwest,Starter,SF,81,190,4
SA,Southwest,Starter,PF,75,225,4
SA,Southwest,Starter,PG,78,215,3
SA,Southwest,Starter,C,83,220,1
SA,Southwest,Bench,SG,78,251,4
SA,Southwest,Bench,F,78,225,1
SA,Southwest,Bench,PF,78,213,2
SA,Southwest,Bench,PG,81,190,4
SA,Southwest,Bench,PG,81,220,0
SA,Southwest,Bench,SF,81,207,2
SA,Southwest,Bench,SF,78,190,0
MIN,Northwest,Starter,PF,73,270,1
MIN,Northwest,Starter,C,83,204,2
MIN,Northwest,Starter,SG,76,225,2
MIN,Northwest,Starter,PG,81,215,2
MIN,Northwest,Starter,SG,78,239,1
MIN,Northwest,Bench,PG,84,220,2
MIN,Northwest,Bench,PG,85,220,0
MIN,Northwest,Bench,SG,75,210,1
MIN,Northwest,Bench,SG,79,199,1
MIN,Northwest,Bench,PF,79,210,3
POR,Southeast,Starter,SF,78,246,1
POR,Southeast,Starter,SF,80,203,3
POR,Southeast,Starter,PF,75,202,2
POR,Southeast,Starter,PF,72,235,4
POR,Southeast,Starter,C,83,197,3
POR,Southeast,Bench,SG,72,194,0
POR,Southeast,Bench,PF,74,205,4
POR,Southeast,Bench,PG,82,265,0
POR,Southeast,Bench,G,83,246,2
POR,Southeast,Bench,PG,82,250,2
WAS,Atlantic,Starter,PF,76,209,4
WAS,Atlantic,Starter,SF,80,260,2
WAS,Atlantic,Starter,SF,78,199,3
WAS,Atlantic,Starter,PF,75,210,3
WAS,Atlantic,Starter,C,85,249,1
WAS,Atlantic,Bench,PG,78,220,2
WAS,Atlantic,Bench,SG,78,275,3
WAS,Atlantic,Bench,SG,79,170,2
WAS,Atlantic,Bench,PF,79,210,2
WAS,Atlantic,Bench,SF,78,240,3
UTA,Southeast,Starter,PG,84,222,3
UTA,Southeast,Starter,PG,80,199,3
UTA,Southeast,Starter,PF,74,227,1
UTA,Southeast,Starter,SF,80,175,2
UTA,Southeast,Starter,SG,77,200,5
UTA,Southeast,Bench,PF,75,225,1
UTA,Southeast,Bench,SG,76,251,3
UTA,Southeast,Bench,PG,83,220,3
UTA,Southeast,Bench,SG,79,190,1
UTA,Southeast,Bench,PG,82,190,3
NO,Northwest,Starter,SG,77,239,1
NO,Northwest,Starter,C,84,240,1
NO,Northwest,Starter,SG,79,210,3
NO,Northwest,Starter,PF,77,235,0
NO,Northwest,Starter,C,84,248,4
NO,Northwest,Bench,SF,79,207,2
NO,Northwest,Bench,SG,77,182,2
NO,Northwest,Bench,PG,81,245,5
NO,Northwest,Bench,SG,77,210,0
NO,Northwest,Bench,PG,82,255,2
IND,Northwest,Starter,SG,78,216,0
IND,Northwest,Starter,PG,81,190,4
IND,Northwest,Starter,C,82,195,1
IND,Northwest,Starter,PF,77,225,2
IND,Northwest,Starter,SG,79,149,0
IND,Northwest,Bench,SF,79,180,4
IND,Northwest,Bench,SF,82,251,3
IND,Northwest,Bench,PF,74,235,1
IND,Northwest,Bench,C,81,245,3
MIA,Atlantic,Starter,PF,82,220,3
MIA,Atlantic,Starter,SG,77,149,4
MIA,Atlantic,Starter,SF,81,200,4
MIA,Atlantic,Starter,PF,75,241,4
MIA,Atlantic,Starter,C,84,255,2
MIA,Atlantic,Bench,SF,82,223,3
MIA,Atlantic,Bench,SG,78,210,2
MIA,Atlantic,Bench,PF,77,180,0
MIA,Atlantic,Bench,PF,72,210,0
MIA,Atlantic,Bench,PG,81,251,6
TOR,Northwest,Starter,PF,77,180,2
TOR,Northwest,Starter,SG,76,194,2
TOR,Northwest,Starter,C,84,220,3
TOR,Northwest,Starter,SF,80,224,3
TOR,Northwest,Starter,PG,84,220,1
TOR,Northwest,Bench,SF,78,188,2
TOR,Northwest,Bench,SG,77,202,0
TOR,Northwest,Bench,PG,80,228,0
TOR,Northwest,Bench,C,82,215,4
TOR,Northwest,Bench,PF,73,206,3
CHA,Southeast,Starter,SF,78,200,4
CHA,Southeast,Starter,PF,79,223,2
CHA,Southeast,Starter,SF,82,185,4
CHA,Southeast,Starter,SG,78,210,4
CHA,Southeast,Starter,PG,85,175,1
CHA,Southeast,Bench,PF,77,149,2
CHA,Southeast,Bench,PG,83,199,2
CHA,Southeast,Bench,C,83,172,3
CHA,Southeast,Bench,PG,81,230,0
CHA,Southeast,Bench,SG,76,241,0
GS,Atlantic,Starter,PF,75,275,1
GS,Atlantic,Starter,SF,80,185,3
GS,Atlantic,Starter,C,82,245,3
GS,Atlantic,Starter,PF,77,199,4
GS,Atlantic,Starter,G,78,207,6
GS,Atlantic,Bench,PF,73,149,4
GS,Atlantic,Bench,C,82,195,4
GS,Atlantic,Bench,PG,78,240,0
GS,Atlantic,Bench,SF,79,215,1
GS,Atlantic,Bench,PG,81,234,1
PHI,Central,Starter,PG,82,199,5
PHI,Central,Starter,PF,75,235,5
PHI,Central,Starter,PG,83,249,4
PHI,Central,Starter,SG,77,275,3
PHI,Central,Starter,PG,80,231,1
PHI,Central,Bench,SG,75,205,3
PHI,Central,Bench,SF,80,240,4
PHI,Central,Bench,SG,77,180,4
PHI,Central,Bench,SG,77,198,2
PHI,Central,Bench,G,81,176,0
SAC,Central,Starter,PF,73,235,3
SAC,Central,Starter,C,84,253,6
SAC,Central,Starter,SF,78,251,0
SAC,Central,Starter,PF,79,251,2
SAC,Central,Starter,PG,80,265,1
SAC,Central,Bench,SF,78,190,2
SAC,Central,Bench,PG,81,185,2
SAC,Central,Bench,PF,73,149,3
SAC,Central,Bench,SG,79,199,3
SAC,Central,Bench,PG,81,222,5
SAC,Central,Bench,SF,81,210,2
PHO,Northwest,Starter,PF,73,236,1
PHO,Northwest,Starter,SF,76,180,2
PHO,Northwest,Starter,SF,80,199,2
PHO,Northwest,Starter,C,84,230,2
PHO,Northwest,Starter,PG,81,240,5
PHO,Northwest,Bench,SG,76,242,0
PHO,Northwest,Bench,PG,82,240,1
PHO,Northwest,Bench,SF,79,212,0
PHO,Northwest,Bench,PG,83,222,2
PHO,Northwest,Bench,F,75,149,1
PHO,Northwest,Bench,SF,81,190,0
PHO,Northwest,Bench,PF,73,227,2
OKC,Central,Starter,SF,80,251,0
OKC,Central,Starter,SG,76,199,4
OKC,Central,Starter,PF,74,235,2
OKC,Central,Starter,PF,75,180,2
OKC,Central,Starter,PG,83,228,3
OKC,Central,Bench,PG,83,262,2
OKC,Central,Bench,PF,74,205,1
OKC,Central,Bench,PF,75,225,1
OKC,Central,Bench,PG,83,220,2
OKC,Central,Bench,G,78,260,2
CLE,Pacific,Starter,C,82,247,1
CLE,Pacific,Starter,SG,77,251,2
CLE,Pacific,Starter,PG,80,245,3
CLE,Pacific,Starter,SF,80,199,2
CLE,Pacific,Starter,F,77,212,2
CLE,Pacific,Bench,SG,76,205,2
CLE,Pacific,Bench,PF,76,210,1
CLE,Pacific,Bench,C,82,240,5
CLE,Pacific,Bench,PG,81,215,0
CLE,Pacific,Bench,PG,80,265,0
CLE,Pacific,Bench,PG,82,271,0
CLE,Pacific,Bench,SG,76,238,0
NY,Pacific,Starter,C,85,199,4
NY,Pacific,Starter,SF,80,175,3
NY,Pacific,Starter,PF,77,235,1
NY,Pacific,Starter,PG,82,193,4
NY,Pacific,Starter,SG,75,210,1
NY,Pacific,Bench,SF,76,200,0
NY,Pacific,Bench,SG,80,190,3
NY,Pacific,Bench,SG,80,200,1
NY,Pacific,Bench,SG,79,180,1
NY,Pacific,Bench,PG,82,220,0
ORL,Pacific,Starter,SF,78,199,3
ORL,Pacific,Starter,C,83,191,4
ORL,Pacific,Starter,SG,80,210,0
ORL,Pacific,Starter,PG,81,190,3
ORL,Pacific,Starter,PF,72,235,1
ORL,Pacific,Bench,SG,79,225,1
ORL,Pacific,Bench,PF,74,149,1
ORL,Pacific,Bench,SF,79,190,2
ORL,Pacific,Bench,C,83,245,1
ORL,Pacific,Bench,PG,82,160,0
DAL,Central,Starter,PG,83,220,2
DAL,Central,Starter,SG,79,251,2
DAL,Central,Starter,SG,81,215,1
DAL,Central,Starter,PG,84,255,1
DAL,Central,Starter,F,76,206,4
DAL,Central,Bench,SF,81,199,3
DAL,Central,Bench,PF,74,225,3
DAL,Central,Bench,SG,79,251,2
DAL,Central,Bench,PG,83,220,0
DAL,Central,Bench,SF,82,251,0
DAL,Central,Bench,PF,76,210,0
DAL,Central,Bench,SG,77,210,0
DAL,Central,Bench,SG,75,149,0
MEM,Pacific,Starter,PF,75,180,1
MEM,Pacific,Starter,SF,81,200,1
MEM,Pacific,Starter,SF,81,199,3
MEM,Pacific,Starter,SG,78,251,2
MEM,Pacific,Starter,C,83,253,3
MEM,Pacific,Bench,SG,76,250,2
MEM,Pacific,Bench,PF,73,235,2
MEM,Pacific,Bench,PG,82,172,2
MEM,Pacific,Bench,PG,82,200,1
MEM,Pacific,Bench,G,81,237,2
MEM,Pacific,Bench,PG,85,245,1
BKN,Southwest,Starter,SF,80,212,1
BKN,Southwest,Starter,PF,73,149,2
BKN,Southwest,Starter,SF,80,200,1
BKN,Southwest,Starter,SG,79,262,2
BKN,Southwest,Starter,C,85,220,4
BKN,Southwest,Bench,SG,77,210,2
BKN,Southwest,Bench,PG,84,175,1
BKN,Southwest,Bench,PF,71,192,2
BKN,Southwest,Bench,G,82,240,5
BKN,Southwest,Bench,PG,81,240,0
BKN,Southwest,Bench,SF,78,149,1
BKN,Southwest,Bench,PF,73,149,1
DEN,Central,Starter,SG,76,250,1
DEN,Central,Starter,SG,75,199,2
DEN,Central,Starter,G,80,210,1
DEN,Central,Starter,C,82,245,2
DEN,Central,Starter,PG,82,220,1
DEN,Central,Bench,SF,76,190,4
DEN,Central,Bench,PG,80,280,0
DEN,Central,Bench,C,83,255,2
DEN,Central,Bench,PF,73,186,1
MIL,Southwest,Starter,G,83,200,1
MIL,Southwest,Starter,SG,76,260,5
MIL,Southwest,Starter,PF,72,235,3
MIL,Southwest,Starter,C,84,220,1
MIL,Southwest,Starter,SF,80,251,1
MIL,Southwest,Bench,SG,79,149,2
MIL,Southwest,Bench,PF,75,218,2
MIL,Southwest,Bench,C,84,204,3
MIL,Southwest,Bench,SG,79,199,1
MIL,Southwest,Bench,SG,79,210,1
HOU,Southeast,Starter,SG,79,225,0
HOU,Southeast,Starter,PG,84,230,2
HOU,Southeast,Starter,C,84,230,3
HOU,Southeast,Starter,PF,76,216,1
HOU,Southeast,Starter,SG,80,237,4
HOU,Southeast,Bench,SG,76,199,4
HOU,Southeast,Bench,PG,82,197,4
HOU,Southeast,Bench,PF,86,252,1
HOU,Southeast,Bench,PF,77,251,0
HOU,Southeast,Bench,SG,79,200,3
HOU,Southeast,Bench,PF,75,208,1
HOU,Southeast,Bench,SG,77,170,0
BOS,Atlantic,Starter,SG,78,199,1
BOS,Atlantic,Starter,C,84,168,4
BOS,Atlantic,Starter,PF,74,205,1
BOS,Atlantic,Starter,SG,77,200,2
BOS,Atlantic,Starter,PG,83,199,2
BOS,Atlantic,Bench,PF,76,149,0
BOS,Atlantic,Bench,SF,79,251,4
BOS,Atlantic,Bench,C,85,222,3
BOS,Atlantic,Bench,SF,80,240,1
BOS,Atlantic,Bench,PF,74,180,1
BOS,Atlantic,Bench,G,82,231,0
BOS,Atlantic,Bench,G,80,200,0
CHI,Atlantic,Starter,PG,85,168,3
CHI,Atlantic,Starter,SG,76,210,0
CHI,Atlantic,Starter,SG,79,185,5
CHI,Atlantic,Starter,C,83,161,1
CHI,Atlantic,Starter,PF,75,149,3
CHI,Atlantic,Bench,SF,80,190,0
CHI,Atlantic,Bench,SG,77,260,1
CHI,Atlantic,Bench,C,82,254,4
CHI,Atlantic,Bench,SF,80,190,4
CHI,Atlantic,Bench,PF,76,149,2
CHI,Atlantic,Bench,C,82,189,0
CHI,Atlantic,Bench,SG,76,194,0
CHI,Atlantic,Bench,SF,82,240,0
LAC,Pacific,Starter,SF,80,251,1
LAC,Pacific,Starter,SF,80,215,4
LAC,Pacific,Starter,PF,75,218,4
LAC,Pacific,Starter,C,84,230,3
LAC,Pacific,Starter,SG,78,262,0
LAC,Pacific,Bench,SG,79,149,3
LAC,Pacific,Bench,SF,80,251,4
LAC,Pacific,Bench,PF,73,185,2
LAC,Pacific,Bench,SG,78,225,1
LAC,Pacific,Bench,PG,81,240,0
LAC,Pacific,Bench,SF,78,215,0
LAC,Pacific,Bench,C,83,177,0
ATL,Southwest,Starter,PG,82,171,2
ATL,Southwest,Starter,SF,80,251,2
ATL,Southwest,Starter,C,84,230,3
ATL,Southwest,Starter,PF,73,225,3
ATL,Southwest,Starter,PF,76,242,2
ATL,Southwest,Bench,PF,77,210,2
ATL,Southwest,Bench,SG,72,205,1
ATL,Southwest,Bench,SF,78,185,1
ATL,Southwest,Bench,C,81,199,2
ATL,Southwest,Bench,SF,81,215,0
ATL,Southwest,Bench,PG,78,232,0
ATL,Southwest,Bench,SG,76,262,2
DET,Southwest,Starter,SF,81,149,1
DET,Southwest,Starter,PG,80,240,3
DET,Southwest,Starter,C,84,195,3
DET,Southwest,Starter,PF,79,149,1
DET,Southwest,Starter,SF,80,199,0
DET,Southwest,Bench,PF,76,209,0
DET,Southwest,Bench,PG,81,239,2
DET,Southwest,Bench,PG,81,255,2
DET,Southwest,Bench,SG,81,208,0
DET,Southwest,Bench,SG,79,244,0
DET,Southwest,Bench,C,84,195,3
DET,Southwest,Bench,PF,72,235,0
PHO,Northwest,Starter,PF,73,236,2
PHO,Northwest,Starter,SF,80,199,4
PHO,Northwest,Starter,SF,76,180,2
PHO,Northwest,Starter,C,84,230,2
PHO,Northwest,Starter,PG,81,240,5
PHO,Northwest,Bench,F,75,149,1
PHO,Northwest,Bench,SG,76,242,1
PHO,Northwest,Bench,PG,83,222,3
PHO,Northwest,Bench,SF,81,190,2
PHO,Northwest,Bench,PG,82,240,6
PHO,Northwest,Bench,PF,73,227,1
PHO,Northwest,Bench,SF,78,200,0
PHO,Northwest,Bench,SG,77,235,0
MIN,Northwest,Starter,PF,73,270,2
MIN,Northwest,Starter,SG,76,225,4
MIN,Northwest,Starter,C,83,204,5
MIN,Northwest,Starter,SG,78,239,1
MIN,Northwest,Starter,PG,81,215,0
MIN,Northwest,Bench,PG,85,220,1
MIN,Northwest,Bench,SG,79,199,1
MIN,Northwest,Bench,SG,75,210,3
MIN,Northwest,Bench,PG,81,219,1
MIN,Northwest,Bench,PF,79,210,0
MEM,Pacific,Starter,SF,81,200,2
MEM,Pacific,Starter,PF,75,180,2
MEM,Pacific,Starter,SG,75,170,2
MEM,Pacific,Starter,C,83,253,5
MEM,Pacific,Starter,SF,81,199,2
MEM,Pacific,Bench,SG,78,251,2
MEM,Pacific,Bench,SG,76,250,2
MEM,Pacific,Bench,PG,82,200,3
MEM,Pacific,Bench,PG,82,172,2
MEM,Pacific,Bench,C,84,215,2
MEM,Pacific,Bench,G,81,237,1
MEM,Pacific,Bench,PF,73,235,1
UTA,Southeast,Starter,SG,77,200,1
UTA,Southeast,Starter,PF,74,227,3
UTA,Southeast,Starter,PG,80,199,1
UTA,Southeast,Starter,PG,83,220,4
UTA,Southeast,Starter,SF,80,175,1
UTA,Southeast,Bench,SG,76,251,0
UTA,Southeast,Bench,PF,75,225,3
UTA,Southeast,Bench,PG,82,190,2
UTA,Southeast,Bench,C,82,204,1
UTA,Southeast,Bench,SG,79,190,0
UTA,Southeast,Bench,SF,80,248,0
UTA,Southeast,Bench,PF,72,235,1
UTA,Southeast,Bench,C,82,255,0
LAL,Southeast,Starter,SF,80,220,1
LAL,Southeast,Starter,PG,82,226,2
LAL,Southeast,Starter,SG,77,260,3
LAL,Southeast,Starter,SF,79,240,1
LAL,Southeast,Starter,PF,75,149,0
LAL,Southeast,Bench,C,80,190,0
LAL,Southeast,Bench,SG,79,199,1
LAL,Southeast,Bench,SG,78,251,0
LAL,Southeast,Bench,SF,81,240,1
LAL,Southeast,Bench,SG,76,199,1
LAL,Southeast,Bench,PG,83,191,0
LAL,Southeast,Bench,SF,80,186,0
LAL,Southeast,Bench,PF,75,251,0
CHA,Southeast,Starter,SF,82,185,2
CHA,Southeast,Starter,SF,78,200,4
CHA,Southeast,Starter,PF,79,223,2
CHA,Southeast,Starter,SG,78,210,1
CHA,Southeast,Starter,PG,85,175,3
CHA,Southeast,Bench,PF,77,149,3
CHA,Southeast,Bench,C,83,172,1
CHA,Southeast,Bench,SG,72,187,0
CHA,Southeast,Bench,PG,81,230,0
CHA,Southeast,Bench,PG,83,199,1
CHA,Southeast,Bench,SG,79,215,0
CHA,Southeast,Bench,PG,82,220,0
CHA,Southeast,Bench,SG,76,241,0
GS,Atlantic,Starter,G,78,207,2
GS,Atlantic,Starter,C,82,245,2
GS,Atlantic,Starter,PF,75,275,4
GS,Atlantic,Starter,SF,80,185,3
GS,Atlantic,Starter,C,82,195,5
GS,Atlantic,Bench,PF,73,149,2
GS,Atlantic,Bench,PF,69,187,0
GS,Atlantic,Bench,SG,79,224,1
GS,Atlantic,Bench,PG,81,234,2
GS,Atlantic,Bench,SF,79,215,1
GS,Atlantic,Bench,PG,80,195,2
MIA,Atlantic,Starter,PF,82,220,2
MIA,Atlantic,Starter,SG,77,149,1
MIA,Atlantic,Starter,PF,75,241,4
MIA,Atlantic,Starter,C,84,255,1
MIA,Atlantic,Starter,SF,81,200,5
MIA,Atlantic,Bench,SF,82,223,5
MIA,Atlantic,Bench,PF,77,180,4
MIA,Atlantic,Bench,SG,78,210,2
MIA,Atlantic,Bench,PF,72,210,5
MIA,Atlantic,Bench,PG,81,251,1
MIA,Atlantic,Bench,SG,79,265,0
POR,Southeast,Starter,SF,80,203,2
POR,Southeast,Starter,PF,72,235,3
POR,Southeast,Starter,PF,75,202,5
POR,Southeast,Starter,C,83,197,6
POR,Southeast,Starter,SF,78,246,3
POR,Southeast,Bench,PG,82,265,3
POR,Southeast,Bench,SG,79,194,1
POR,Southeast,Bench,PF,74,205,2
POR,Southeast,Bench,SG,72,194,3
POR,Southeast,Bench,PG,82,250,3
TOR,Northwest,Starter,SF,80,224,2
TOR,Northwest,Starter,SF,78,188,3
TOR,Northwest,Starter,SG,76,194,4
TOR,Northwest,Starter,C,84,220,5
TOR,Northwest,Starter,PF,77,180,1
TOR,Northwest,Bench,PG,80,228,0
TOR,Northwest,Bench,SG,77,202,0
TOR,Northwest,Bench,PF,73,206,2
TOR,Northwest,Bench,C,82,215,1
IND,Northwest,Starter,SG,78,216,3
IND,Northwest,Starter,C,82,195,5
IND,Northwest,Starter,SG,79,149,3
IND,Northwest,Starter,SF,82,251,3
IND,Northwest,Starter,PF,77,225,0
IND,Northwest,Bench,PF,74,235,3
IND,Northwest,Bench,SF,79,180,2
IND,Northwest,Bench,SG,78,250,3
IND,Northwest,Bench,SG,76,200,1
IND,Northwest,Bench,C,81,245,3
IND,Northwest,Bench,PF,75,251,1
IND,Northwest,Bench,PG,82,230,0
WAS,Atlantic,Starter,SF,80,260,2
WAS,Atlantic,Starter,PF,76,209,3
WAS,Atlantic,Starter,SF,78,199,0
WAS,Atlantic,Starter,SG,79,170,0
WAS,Atlantic,Starter,C,85,249,0
WAS,Atlantic,Bench,SG,78,275,2
WAS,Atlantic,Bench,PF,79,210,1
WAS,Atlantic,Bench,PG,78,220,3
WAS,Atlantic,Bench,SG,79,190,1
WAS,Atlantic,Bench,SF,78,240,2
WAS,Atlantic,Bench,C,83,240,3
NY,Pacific,Starter,SF,80,175,2
NY,Pacific,Starter,PF,77,235,5
NY,Pacific,Starter,C,85,199,2
NY,Pacific,Starter,PG,82,193,2
NY,Pacific,Starter,SG,80,200,2
NY,Pacific,Bench,SF,76,200,2
NY,Pacific,Bench,SG,75,210,2
NY,Pacific,Bench,SG,80,190,1
NY,Pacific,Bench,PG,82,220,1
NY,Pacific,Bench,SG,79,180,2
ORL,Pacific,Starter,SF,78,199,1
ORL,Pacific,Starter,SG,80,210,1
ORL,Pacific,Starter,PF,72,235,2
ORL,Pacific,Starter,C,83,191,3
ORL,Pacific,Starter,PG,81,190,1
ORL,Pacific,Bench,SG,79,225,2
ORL,Pacific,Bench,C,83,245,2
ORL,Pacific,Bench,PF,74,149,0
ORL,Pacific,Bench,PG,82,160,3
ORL,Pacific,Bench,SF,79,190,2
MIL,Southwest,Starter,PF,72,235,1
MIL,Southwest,Starter,PG,81,232,1
MIL,Southwest,Starter,SG,76,260,1
MIL,Southwest,Starter,C,84,220,5
MIL,Southwest,Starter,SF,80,251,1
MIL,Southwest,Bench,SG,79,149,0
MIL,Southwest,Bench,PF,75,218,3
MIL,Southwest,Bench,C,84,204,3
MIL,Southwest,Bench,SG,79,199,2
MIL,Southwest,Bench,G,83,200,1
OKC,Central,Starter,SF,80,251,3
OKC,Central,Starter,SG,76,199,1
OKC,Central,Starter,PG,83,228,1
OKC,Central,Starter,PF,74,205,1
OKC,Central,Starter,PG,83,262,1
OKC,Central,Bench,PF,74,235,3
OKC,Central,Bench,G,78,260,2
OKC,Central,Bench,C,85,245,0
OKC,Central,Bench,SG,77,225,0
OKC,Central,Bench,PG,83,220,1
SA,Southwest,Starter,SF,81,190,3
SA,Southwest,Starter,SG,78,185,2
SA,Southwest,Starter,PG,78,215,4
SA,Southwest,Starter,PF,75,225,1
SA,Southwest,Starter,C,83,220,5
SA,Southwest,Bench,SF,79,212,0
SA,Southwest,Bench,PF,78,213,1
SA,Southwest,Bench,PG,81,220,4
SA,Southwest,Bench,SG,78,251,1
SA,Southwest,Bench,C,84,228,2
SA,Southwest,Bench,PG,81,190,0
PHI,Central,Starter,PG,82,199,1
PHI,Central,Starter,PF,75,235,4
PHI,Central,Starter,PG,83,249,5
PHI,Central,Starter,PG,80,231,2
PHI,Central,Starter,SG,77,275,2
PHI,Central,Bench,SG,75,205,2
PHI,Central,Bench,SG,77,180,2
PHI,Central,Bench,SF,80,240,1
PHI,Central,Bench,SG,77,198,0
DET,Southwest,Starter,SF,81,149,6
DET,Southwest,Starter,PF,79,149,4
DET,Southwest,Starter,C,84,195,4
DET,Southwest,Starter,SG,81,208,4
DET,Southwest,Starter,PG,80,240,4
DET,Southwest,Bench,PG,81,239,0
DET,Southwest,Bench,PF,76,209,3
DET,Southwest,Bench,PG,81,255,3
DET,Southwest,Bench,C,84,195,2
DET,Southwest,Bench,SG,79,244,0
DET,Southwest,Bench,PF,72,235,1
DET,Southwest,Bench,SG,76,185,0
BKN,Southwest,Starter,SG,79,262,2
BKN,Southwest,Starter,SF,80,200,2
BKN,Southwest,Starter,PF,73,149,3
BKN,Southwest,Starter,C,85,220,5
BKN,Southwest,Starter,SF,80,212,2
BKN,Southwest,Bench,PF,73,149,1
BKN,Southwest,Bench,C,85,230,5
BKN,Southwest,Bench,PG,84,175,1
BKN,Southwest,Bench,G,82,240,2
BKN,Southwest,Bench,SG,77,210,2
MIA,Atlantic,Starter,PF,82,220,0
MIA,Atlantic,Starter,PF,75,241,1
MIA,Atlantic,Starter,SG,77,149,1
MIA,Atlantic,Starter,SF,81,200,4
MIA,Atlantic,Starter,PG,81,251,2
MIA,Atlantic,Bench,SF,82,223,4
MIA,Atlantic,Bench,PF,77,180,2
MIA,Atlantic,Bench,C,83,197,4
MIA,Atlantic,Bench,PF,72,210,4
MIA,Atlantic,Bench,SG,79,265,3
MIA,Atlantic,Bench,SG,78,210,1
MIA,Atlantic,Bench,SG,79,185,0
BOS,Atlantic,Starter,PF,74,205,3
BOS,Atlantic,Starter,SG,78,199,3
BOS,Atlantic,Starter,PG,83,199,2
BOS,Atlantic,Starter,SG,77,200,4
BOS,Atlantic,Starter,C,84,168,2
BOS,Atlantic,Bench,PF,76,149,3
BOS,Atlantic,Bench,SF,79,251,3
BOS,Atlantic,Bench,C,85,222,0
BOS,Atlantic,Bench,PF,74,180,3
BOS,Atlantic,Bench,C,84,199,1
BOS,Atlantic,Bench,SF,80,240,3
BOS,Atlantic,Bench,G,82,231,1
BOS,Atlantic,Bench,SF,81,185,1
DAL,Central,Starter,PG,83,220,2
DAL,Central,Starter,SG,81,215,0
DAL,Central,Starter,SG,79,251,1
DAL,Central,Starter,F,76,206,0
DAL,Central,Starter,PG,84,255,0
DAL,Central,Bench,SF,81,199,2
DAL,Central,Bench,SG,79,251,3
DAL,Central,Bench,PF,74,225,4
DAL,Central,Bench,PG,83,220,0
DAL,Central,Bench,SG,75,149,2
DAL,Central,Bench,SG,77,210,0
HOU,Southeast,Starter,PG,84,230,3
HOU,Southeast,Starter,SG,79,225,1
HOU,Southeast,Starter,PF,76,216,2
HOU,Southeast,Starter,C,84,230,1
HOU,Southeast,Starter,SG,80,237,2
HOU,Southeast,Bench,SG,76,199,0
HOU,Southeast,Bench,PG,82,197,4
HOU,Southeast,Bench,PF,77,251,1
HOU,Southeast,Bench,PF,86,252,1
IND,Northwest,Starter,C,82,195,2
IND,Northwest,Starter,SG,78,216,1
IND,Northwest,Starter,PF,74,235,2
IND,Northwest,Starter,SG,79,149,1
IND,Northwest,Starter,SF,82,251,4
IND,Northwest,Bench,SG,78,250,3
IND,Northwest,Bench,PF,75,251,0
IND,Northwest,Bench,SF,79,180,4
IND,Northwest,Bench,PG,82,230,2
IND,Northwest,Bench,C,81,245,4
IND,Northwest,Bench,SG,78,185,1
IND,Northwest,Bench,C,81,199,3
IND,Northwest,Bench,SG,76,200,1
LAL,Southeast,Starter,SF,80,220,0
LAL,Southeast,Starter,PG,82,226,2
LAL,Southeast,Starter,SF,79,240,4
LAL,Southeast,Starter,SG,77,260,1
LAL,Southeast,Starter,PF,75,251,0
LAL,Southeast,Bench,SG,76,199,1
LAL,Southeast,Bench,C,80,190,1
LAL,Southeast,Bench,SG,79,199,2
LAL,Southeast,Bench,SF,81,240,0
LAL,Southeast,Bench,SG,78,251,0
LAL,Southeast,Bench,PG,83,191,1
LAL,Southeast,Bench,SF,80,186,2
LAL,Southeast,Bench,PG,83,220,0
OKC,Central,Starter,PF,74,235,3
OKC,Central,Starter,SG,76,199,1
OKC,Central,Starter,SF,80,251,1
OKC,Central,Starter,PG,83,228,3
OKC,Central,Starter,G,78,260,1
OKC,Central,Bench,SG,77,225,2
OKC,Central,Bench,PF,74,205,2
OKC,Central,Bench,PG,83,220,2
OKC,Central,Bench,PG,83,262,3
OKC,Central,Bench,G,81,175,1
OKC,Central,Bench,C,84,240,0
DEN,Central,Starter,G,80,210,0
DEN,Central,Starter,SG,76,250,5
